User1,User2,Action
JustLeanLeft,JustLeanLeft,Tweet
JustLeanLeft,mattyglesias,Retweet
MrsScales1,MrsScales1,Tweet
oso1248,oso1248,Tweet
oso1248,Kevin12Z5VS4,Reply
SMassadi,SMassadi,Tweet
SMassadi,oso1248,Retweet
SMassadi,Kevin12Z5VS4,Mention
SKeithPryor,SKeithPryor,Tweet
tiiiiinyy,tiiiiinyy,Tweet
tiiiiinyy,ScottPresler,Reply
Glemus2010,Glemus2010,Tweet
Glemus2010,tiiiiinyy,Retweet
Glemus2010,ScottPresler,Mention
bennyblanco1961,bennyblanco1961,Tweet
bennyblanco1961,YouTube,Mention
digby56,digby56,Tweet
DHCalifornicus,DHCalifornicus,Tweet
DHCalifornicus,digby56,Retweet
altusda,altusda,Tweet
Kagey_Mays,Kagey_Mays,Tweet
Kagey_Mays,altusda,Retweet
MarioTrejoSala,MarioTrejoSala,Tweet
danpfeiffer,danpfeiffer,Tweet
MaalikSimmons,MaalikSimmons,Tweet
MaalikSimmons,danpfeiffer,Retweet
Tmgneff,Tmgneff,Tweet
maxjrosenthal,maxjrosenthal,Tweet
maxjrosenthal,Tmgneff,Retweet
NotThatKellyAnn,NotThatKellyAnn,Tweet
azbooklover,azbooklover,Tweet
azbooklover,NotThatKellyAnn,Retweet
immigrant4trump,immigrant4trump,Tweet
yeahitzmee,yeahitzmee,Tweet
yeahitzmee,immigrant4trump,Retweet
yeahitzmee,Joy_Villa,Mention
kelliwardaz,kelliwardaz,Tweet
CStroede,CStroede,Tweet
CStroede,kelliwardaz,Retweet
Klydevil,Klydevil,Tweet
fuckyomary,fuckyomary,Tweet
fuckyomary,Klydevil,Retweet
BraddJaffy,BraddJaffy,Tweet
badbadQlu,badbadQlu,Tweet
badbadQlu,BraddJaffy,Retweet
McJesse,McJesse,Tweet
thejillslattery,thejillslattery,Tweet
thejillslattery,McJesse,Retweet
KeithOlbermann,KeithOlbermann,Tweet
catherinemario2,catherinemario2,Tweet
catherinemario2,KeithOlbermann,Retweet
catherinemario2,realDonaldTrump,Mention
DaShanneStokes,DaShanneStokes,Tweet
markgres,markgres,Tweet
markgres,DaShanneStokes,Retweet
mrgipson,mrgipson,Tweet
david_hemond,david_hemond,Tweet
The_Trump_Train,The_Trump_Train,Tweet
