Word,Frequency,Topic
long,1.000033288,
mfranks24,1.000033288,
pppaudesantiago,1.000033288,
kia_motors,1.000033288,
blakcirclegirl,1.000033288,
tomilahren,1.000033288,
brianamadison2,1.000033288,
ban,1.000033288,
iggynoramus,1.000033288,
put,1.000033288,
//t.co/hux1s5apko,1.000033288,
place,1.000033288,
le…,,
weareallimmigrants,1.000033288,
produce,1.000033288,
bluberco,1.000033288,
might,1.000016644,
dreamedofdust,1.000016644,
tasteslikeshitanyway,1.000016644,
fedsnap,1.000016644,
jank0,1.000016644,
politicalactone,1.000016644,
father,1.000016644,
//t.co/czdvcxvhbl,1.000016644,
w…,,
miller,1.000016644,
stupidest,1.000016644,
reagan01a,1.000016644,
disappointed,1.000016644,
elliephant_8,1.000016644,
mcanto27,1.000016644,
im,1.000016644,
johngalta,1.000016644,
//t.co/uc7wno0rwv,1.000016644,
//t.co/xmprhulbsv,1.000016644,
drinkin,1.000016644,
trumptrain,1.000016644,
based,1.000016644,
gaga,1.000016644,
fine,1.000016644,
watching,1.000016644,
ht…,,
//t.co/64jhqadlev,1.000016644,
harrytpk,1.000016644,
//t.co/y4teafjk4m,1.000016644,
jasmine_uysal,1.000016644,
wt…,,
puppy,1.000016644,
jackass,1.000016644,
mmch911,1.000016644,
casualotaku934,1.000016644,
patsvideo404,1.000016644,
//t.co…,,
lead…,,
//t.co/x4kwb8luei,1.000016644,
h…,,
storytelling,1.000016644,
anknee09,1.000016644,
//t.co/yzfuxl0ol2,1.000016644,
😔,,
allergic,1.000016644,
dahne1,1.000016644,
katesmith817,1.000016644,
joseliang3,1.000016644,
scheychris,1.000016644,
lady,1.000016644,
football,1.000016644,
be…,,
mlogue004,1.000016644,
anyway,1.000016644,
tasteslikeshit…,,
dumbass,1.000016644,
drinkmorebudweiser,1.000016644,
alexn1952,1.000016644,
m…,,
//t.co/20akf69yqf,1.000016644,
break,1.000016644,
//t.co/xytmvm96ig,1.000016644,
rogerpiercet,1.000016644,
creativewavevb,1.000016644,
eblandon21,1.000016644,
meganlbarrett29,1.000016644,
narissatweets,1.000016644,
ucin,1.000016644,
severely,1.000016644,
jzeeryp32,1.000016644,
guess,1.000016644,
puppies,1.000016644,
//t.co/ojas8wrwlk,1.000016644,
stevenicolson,1.000016644,
tocaalberto,1.000016644,
americafirst,1.000016644,
buymorebudweiser,1.000016644,
crossbearer1956,1.000016644,
storytelling…,,
irfaanbaksh,1.000016644,
arminius39,1.000016644,
around,1.000016644,
patriotnationa,1.000016644,
bl,1,
analyze,1,
themagicmike37,1,
gift,1,
reminder,1,
brands,1,
louis,1,
marketing,1,
continue,1,
cont,1,
fucken,1,
heritage,1,
biased,1,
a6,1,
worst,1,
boycottbudweizer,1,
//t.co/doowivnpie,1,
moving,1,
stopped,1,
applaud,1,
stay,1,
//t.co/nzzce8dmj0,1,
wades,1,
//t.co/rbyakeixfz,1,
although,1,
8th,1,
//t.co/jfmd5khyft,1,
//t.co/imnyj0ds4h,1,
//t.co/yiiwmzrohw,1,
w/pride,1,
//t.co/fmf2ikdeg7,1,
//t.co/7osanwxihd,1,
hot,1,
stand,1,
gtfoh,1,
''snowflakes,1,
//t.co/ry9geaeyfh,1,
//t.co/fuziccl9qi,1,
civil,1,
played,1,
paints,1,
increased,1,
//t.co/vt7v64rafl,1,
welcome,1,
immigrate,1,
clearly,1,
//t.co/uiqkkvkhrm,1,
opened,1,
georgetakei,1,
support,1,
media,1,
column,1,
partnership.i,1,
//t.co/oxv0zza5ed,1,
terrorist,1,
ok,1,
//t.co/y5qlk6msyn,1,
serious,1,
kept,1,
added,1,
//t.co/pqx5rhx62l,1,
doctors.trump,1,
ancestors,1,
//t.co/tenim0fjs1,1,
cake,1,
accurate,1,
native,1,
//t.co/pgu3pnzo89,1,
//t.co/2gxaoeol7l,1,
//t.co/hfr2ylvb6j,1,
hit,1,
daynadrew,1,
jck179,1,
press,1,
politically-driven,1,
historically,1,
dare,1,
😂😂,,
problem,1,
february,1,
dbongino,1,
portrayed,1,
exist,1,
sorry,1,
moved,1,
//t.co/taiw2xvzh7,1,
dreams,1,
watched,1,
🇨🇦,,
budweiser-for,1,
rest,1,
shit,1,
whiners,1,
usagatekeeper,1,
//t.co/v5x9uiwhrj,1,
facts,1,
//t.co/9rzd3m3rfc,1,
libs,1,
left…,,
morons,1,
delivered,1,
customer,1,
searching,1,
//t.co/lgx6jydj6l,1,
universalyblack,1,
well,1,
homerun,1,
//t.co/5rqdvrq29i,1,
complete,1,
hx,1,
brand,1,
shitty,1,
//t.co/kguog4bxwp,1,
//t.co/ncng4ko5vw,1,
supports,1,
//t.co/nlsfxq8jdq,1,
thoughts,1,
hey,1,
impassioned,1,
fucking,1,
i’ve,,
//t.co/9dzfpy5pbn,1,
//t.co/bg37ybq5ke,1,
americancompany,1,
latest,1,
've,1,
meanwhile,1,
claims,1,
facing,1,
TRUE,1,
suprebowl,1,
refugees,1,
alive,1,
towards,1,
historic,1,
//t.co/wtpucrerde,1,
blaming,1,
old,1,
followed,1,
snl,1,
pack,1,
//t.co/ynpykjwvob,1,
ke259312,1,
//t.co/1knefu4cfp,1,
president,1,
chills,1,
//t.co/rpezstexnd,1,
lost,1,
switch,1,
dream,1,
truthful,1,
move,1,
//t.co/2ze59t0ujt,1,
//t.co/sra4d6elaf,1,
timing,1,
google,1,
broadway,1,
periscopeco,1,
//t.co/07riovscuc,1,
pure,1,
//t.co/vogr30fnjq,1,
//t.co/r3n6htjbro,1,
arrive,1,
example,1,
//t.co/4c7fm8ju7g,1,
beautiful,1,
crazy,1,
picture,1,
give,1,
ready,1,
jaylynn_,1,
//t.co/8slxpzgayd,1,
purchased,1,
sense,1,
buybud,1,
six,1,
length,1,
//t.co/xlbwjwfvv8,1,
//t.co/t4tuwbkjkd,1,
stupidity,1,
country,1,
metalmilitia74,1,
americans,1,
//t.co/df3yyahlz5,1,
//t.co/kryyrvdgxw,1,
everyonesacritic,1,
brews,1,
//t.co/vy6czmotoj,1,
meltingpot,1,
mistreatment,1,
truth,1,
oppressed,1,
finish,1,
undereducated,1,
joshtpm,1,
deplorables,1,
84,1,
gqinnc,1,
😂,,
//t.co/wosecfulq2,1,
lt,1,
3,1,
//t.co/udqp9tpr54,1,
radical,1,
//t.co/9xj2nhuap3,1,
descend,1,
bjshea,1,
stupid,1,
employeecontest…,,
//t.co/7kfrsqk68l,1,
oppositely,1,
starbucks,1,
//t.co/7ckempx5hr,1,
realize,1,
julieroginsky,1,
ancestor,1,
name,1,
bosnia,1,
//t.co/eitljujvoa,1,
anywhere,1,
rights,1,
cause,1,
sitting,1,
//t.co/tvcq28xeik,1,
fall,1,
telling,1,
bringing,1,
states,1,
school,1,
purposebranding,1,
fly,1,
ohio4440,1,
team,1,
//t.co/ntsp3icxod,1,
usatoday,1,
//t.co/holgdrsnf7,1,
//t.co/zdccyfwljw,1,
badass,1,
woman,1,
tf,1,
join,1,
broader,1,
fawk,1,
resist,1,
//t.co/e6cnenrkzl,1,
resistance,1,
alien,1,
protest,1,
isupportbud,1,
//t.co/c6soacjh7w,1,
//t.co/4ln9qedw6b,1,
ridiculous,1,
seemed,1,
airs,1,
the1nonlynava,1,
//t.co/1dk70cuv10,1,
absolutly,1,
aus,1,
mediaintelligence,1,
//t.co/risd339s7t,1,
abt,1,
survive,1,
marketers,1,
…,,
//t.co/6brocvsars,1,
two,1,
explicitly,1,
call,1,
gorgeous,1,
//t.co/eawegjyphy,1,
//t.co/sptkmr3pvj,1,
type,1,
//t.co/g7dctcvhuj,1,
cases,1,
aaacommercials,1,
must,1,
high,1,
account,1,
//t.co/iltoqsmahi,1,
verge,1,
improbable,1,
lrockriver7,1,
absuperbowlgoals,1,
appeal,1,
ever,1,
🍻,,
knocked,1,
pratt,1,
'friedrich,1,
theodyssey,1,
handle,1,
//t.co/pdwqeok6qw,1,
bro,1,
controversy,1,
base,1,
the_prodigy999,1,
criticism,1,
missed,1,
factors,1,
activism,1,
away,1,
w/,1,
st.,1,
alexkrallman,1,
yep,1,
retweet,1,
said,1,
movie,1,
yet,1,
coors,1,
importance,1,
enough,1,
bunch,1,
//t.co/kqyaw3mbbe,1,
terms,1,
//t.co/qkq9xa11qe,1,
attention,1,
blew,1,
//t.co/gidjchbxem,1,
businesses,1,
hope,1,
//t.co/cbll0kgk5f,1,
supporter,1,
//t.co/u9aa5eehhz,1,
toast,1,
ha,1,
writer,1,
believing,1,
directed,1,
//t.co/fiteoexlzf,1,
ucm4490,1,
//t.co/2ze59tivi3,1,
about…,,
//t.co/zdh9agiipu,1,
bathwater,1,
deonjthomas,1,
ttmaynemayne,1,
anti-trump,1,
wth,1,
//t.co/geikomthvh,1,
audi,1,
damn,1,
//t.co/bduxb6vend,1,
threaten,1,
educated,1,
//t.co/ib2f7unhmp,1,
2015,1,
//t.co/izmet44uvv,1,
personally,1,
//t.co/kxtsng4u7v,1,
thisbudsforall,1,
//t.co/igantg7t7h,1,
factual,1,
contexts,1,
//t.co/4u8sllahtl,1,
p…,,
–,,
acceptance,1,
//t.co/gykf19vjlo,1,
decent,1,
respect,1,
bkkchui,1,
many,1,
personal,1,
negative,1,
retarded,1,
lauren_melans12,1,
com,1,
//t.co/pghrkgxzrj,1,
tone,1,
point,1,
allegiance,1,
whatever,1,
paulkrugman,1,
bosnians,1,
//t.co/r8wvuq5tcb,1,
//t.co/k9xir8x6ro,1,
bufferchat,1,
since,1,
//t.co/tqcofqzibz,1,
powerful,1,
btw,1,
//t.co/xa9b24wilh,1,
rant,1,
dominating,1,
//t.co/bvgjgokowq,1,
//t.co/5ar9vqf69u,1,
//t.co/zhwkrpskwb,1,
dont,1,
//t.co/fphfkgdeze,1,
needed,1,
2,1,
speaking,1,
lot,1,
84lumber,1,
proving,1,
feel,1,
first,1,
agreed,1,
quite,1,
commercial-this,1,
seriously,1,
issue,1,
ass,1,
//t.co/3xyojclftz,1,
buzz,1,
playlist,1,
gothamc,1,
driven,1,
ask,1,
beginning,1,
definition,1,
//t.co/xmy7cnzyfg,1,
terrible,1,
//t.co/qwvpxdsx6m,1,
repeats,1,
part,1,
weferss17,1,
believe,1,
//t.co/g7hyr4drvu,1,
though,1,
buffer,1,
park,1,
accurately,1,
regular,1,
//t.co/aj3gayiomg,1,
nothingtoapologizefor,1,
//t.co/umug8bqlmw,1,
fucktrump,1,
//t.co/yysypidyxf,1,
enterprise,1,
chris,1,
barrel,1,
consumer,1,
//t.co/rfeqkxu1oo,1,
//t.co/ximypjb4sx,1,
bitches,1,
//t.co/4zwuqdlx6n,1,
snowflake,1,
panties,1,
fold,1,
told,1,
politics,1,
matter,1,
dumb,1,
//t.co/ya9ev7y3n5,1,
turned,1,
//t.co/43fpktjidb,1,
wussed,1,
need,1,
//t.co/aaedqtwt71,1,
screw,1,
//t.co/f5ujcy1p0f,1,
note,1,
pro-immigration,1,
considered,1,
