Word,Frequency,Topic
look,2,
sorry,2,
stick,2,
propnutal,2,
making,2,
soul,2,
bad,2,
promote,2,
offensive,2,
related,2,
2017marketingp1,2,
tell,2,
looks,2,
politics,2,
abt,2,
work,2,
quite,2,
triggered,2,
story,2,
anti,2,
reboot,2,
amazing,2,
pescigotpepsi,2,
outrage,2,
yeah,2,
sensitive,2,
long,2,
sounds,2,
❤️,,
wonder,2,
list,2,
forgive,2,
gives,2,
yesterday,2,
eyes,2,
//t.co/imjacql3wj,2,
song,2,
sharia,2,
accept,2,
84lumbernews,2,
heartwarming,2,
bet,2,
w,2,
okay,2,
sucks,2,
someone,2,
kia,2,
greatest,2,
multilingual,2,
fact,2,
drank,2,
thanks,2,
sappy,2,
store,2,
ya,2,
yet,2,
finally,2,
focus,2,
_learner4life_,2,
🤔,,
felt,2,
humanity,2,
forever,2,
football,2,
smartnews,2,
nc,2,
lady,2,
tomilahren,2,
check,2,
ones,2,
happy,2,
😂😂,,
use,2,
water,2,
1971,2,
teared,2,
drjohn76533054,2,
set,2,
keep,2,
native,2,
itzzkait,2,
emhs,2,
//t.co/8omgre8ppu,1.23862385,
alexcanrelate,1.23862385,
fatboy_sse,1.201571382,
worldstar,1.201571382,
😂,,
//t.co/1env4xsdlb,1.201571382,
rapspotlights,1.198625041,
//t.co/mj4yesl17w,1.198625041,
//t.co/ivpouun2wx,1.084551055,
vinehumor,1.084551055,
pisses,1.036308443,
racist-bigots,1.036308443,
//t.co/zye7j4ewx2,1.036308443,
assimilation,1.029731258,
drmartyfox,1.029731258,
sending,1.027528943,
war,1.027528943,
murdered,1.027528943,
zones,1.027528943,
dannyzuker,1.027528943,
//t.co/tl762fu4ol,1.027499182,
worldstarc0medy,1.027499182,
found,1.02276718,
shaunking,1.02276718,
direct,1.02276718,
rebuttal,1.02276718,
touching,1.02276718,
donald,1.02276718,
superbowlsunday,1.01110086,
fuk,1.01110086,
//t.co/hqdh1rbocz,1.009910419,
spike,1.008779501,
goldengateblond,1.008779501,
congratulations,1.008779501,
sales,1.008779501,
commercial…,,
declare,1.008779501,
somewhere,1.00729145,
trailer,1.00729145,
starts,1.00729145,
s…,,
failgop,1.00729145,
shattered,1.00729145,
side,1.00729145,
//t.co/ufcta7yzkl,1.006636707,
removed,1.006309336,
house,1.006309336,
mikebarnicle,1.006309336,
ordered,1.006309336,
goes,1.005922443,
pol…,,
halftimeshow,1.005922443,
jab,1.005922443,
imamsuhaibwebb,1.005416505,
father,1.005416505,
saving,1.005416505,
ceo,1.005416505,
risked,1.005416505,
kent,1.005416505,
necdet,1.005416505,
jews,1.005416505,
🏈😭,,
run,1.004851046,
ingridmusic,1.004851046,
mrbobbybones,1.003452278,
bu…,,
george,1.003452278,
h.w,1.003452278,
yourself”,,
titled,1.002857058,
“trump,,
buckyisotope,1.002857058,
sign,1.002708253,
order,1.002708253,
be…,,
steve,1.002708253,
executive,1.002708253,
realdonaldrumpf,1.002708253,
pressuring,1.002708253,
declaring,1.002708253,
”,,
“want,,
iconic,1.001607095,
reflects,1.001607095,
cocacolaco,1.001607095,
//t.co/mj7ygt…,,
–,,
“mean”,,
changed,1.001607095,
//t.co/pdtoirwbno,1.001398768,
henryfingjames,1.001398768,
surprised,1.001339246,
fdouglass2020,1.001339246,
*outrage*,1.001190441,
little,1.001190441,
faineg,1.001190441,
angels,1.001190441,
//t.co/jxl3yievw5,1.001190441,
face,1.00116068,
america…,,
nods,1.00116068,
tooedit,1.00116068,
//t.co/ggwfgvdz1c,1.001071397,
legendaryluna,1.001071397,
considered,1.000982114,
daring,1.000982114,
us*,1.000982114,
cranstonl1972,1.000982114,
*embarrass,1.000982114,
shld,1.000833309,
diff,1.000833309,
mt,1.000833309,
mtnmd,1.000833309,
oxygen.…,,
smile,1.000773786,
pants,1.000773786,
catalinacruz,1.000773786,
touchdowns,1.000773786,
commercial❤,,
//t.co/hrzxb7flpw,1.000773786,
space,1.000773786,
toxlcityy,1.000773786,
undhockeyfan,1.000565459,
//t.co/xbpvwujxpw,1.000565459,
mzhokie,1.000535698,
jarettsays,1.000535698,
trolling,1.000535698,
djt,1.000535698,
vario…,,
offend,1.000416654,
nation,1.000416654,
barrettall,1.000416654,
nowadays,1.00029761,
recycle,1.00029761,
stay_on_green,1.00029761,
adar79angie,1.000208327,
neck,1.000208327,
tw…,,
ashleylynch,1.000178566,
majorkatherine,1.000178566,
//t.co/bqdszysyry,1.000178566,
re…,,
//t.co/kvcrh69xwk,1.000178566,
republ…,,
e…,,
russian,1.000148805,
imizzrie,1.000148805,
rus…,,
muslimban,1.000148805,
meant,1.000148805,
races,1.000148805,
accepts,1.000148805,
starvinghartist,1.000148805,
channel,1.000119044,
mad…,,
premiered,1.000119044,
huffintonpost,1.000119044,
airing,1.000119044,
katspjz,1.000119044,
pamelageller,1.000119044,
fa…,,
mo…,,
libtardamerica,1.000119044,
georgia_rn_ccrn,1.000119044,
vaanessssaa,1.000119044,
grimmy_coyote,1.000119044,
6,1.000119044,
since/on,1.000119044,
yt,1.000119044,
clankorval,1.000119044,
#NAME?,1.000119044,
diabetes,1.000089283,
lawyerrogelio,1.000089283,
shoresofmars,1.000089283,
//t.co/dhcsqkmodj,1.000089283,
jacobmitche,1.000089283,
second…,,
.…,,
_buffalo_sports,1.000089283,
moscarlet,1.000089283,
product…,,
aldubxdtbyabangan,1.000089283,
carrying,1.000089283,
tradition,1.000089283,
superbow…,,
aldub…,,
cultures,1.000089283,
missmau79,1.000089283,
anntruwe,1.000089283,
hard_harry17,1.000089283,
countries,1.000089283,
justkate038,1.000089283,
expect,1.000089283,
bringing,1.000089283,
touché,,
notice,1.000089283,
ame…,,
icor12,1.000089283,
point,1.000089283,
minorities,1.000089283,
lmao,1.000089283,
flag,1.000089283,
including,1.000089283,
coke…,,
existed,1.000059522,
dunstanmj,1.000059522,
jakehalfdone,1.000059522,
moved,1.000059522,
grilling,1.000059522,
coke-a-cola,1.000059522,
wood,1.000059522,
fooled,1.000059522,
race,1.000059522,
joewaaaayyy,1.000059522,
mash…,,
fire,1.000059522,
frank_nut,1.000059522,
reminiscing,1.000059522,
showerthoughts,1.000059522,
antarctica,1.000059522,
conservative,1.000059522,
collab,1.000059522,
man_in_radiator,1.000059522,
thingsiwonder,1.000059522,
waterwayrealty,1.000059522,
destroyed,1.000059522,
lumapictures,1.000059522,
jmacds,1.000059522,
remembered,1.000059522,
air,1.000059522,
methods,1.000059522,
