id,Brand,created_at,favorite_count,retweet_count,text
828642294966398976,ford,Mon Feb 06 16:31:33 +0000 2017,0,1,RT @whyabike: Head's up @Ford #GoFurther Super Bowl commercial = major car company betting on a multimodal future.  Word! https://t.co/C6lU…
828642140553039872,ford,Mon Feb 06 16:30:56 +0000 2017,0,118,"RT @peta: Right, @Ford. No one likes being stuck. Especially the poor cat whose head you shoved into a tissue box 😿 Animals aren't commerci…"
828642059733041153,ford,Mon Feb 06 16:30:37 +0000 2017,0,1,RT @hisnameisjulius: Best thing about watching the SuperBowl was finding a Nina Simone gem in a Ford commercial.
828641877893251072,ford,Mon Feb 06 16:29:53 +0000 2017,0,1,What was your favorite Superbowl commercial yesterday?  #Ford  #Superbowl https://t.co/sYggVHB14n
828640265422389250,ford,Mon Feb 06 16:23:29 +0000 2017,0,72,RT @KohnenUSA: Anyone else see the great sport of wrestling in that Ford Super Bowl commercial?!
828639696645451777,ford,Mon Feb 06 16:21:13 +0000 2017,0,72,RT @KohnenUSA: Anyone else see the great sport of wrestling in that Ford Super Bowl commercial?!
828638962541408256,ford,Mon Feb 06 16:18:18 +0000 2017,0,80,"RT @TheRock: Thx you bud. We all put a lot of work into our new @Ford commercial. Not trying to sell a car, but rather authenticity, faith.…"
828637661594279936,ford,Mon Feb 06 16:13:08 +0000 2017,0,0,Watch @Ford's promise of long-term #Mobility and transportation for the “City of Tomorrow”.  https://t.co/Rmf1NgHrVw
828634906720870400,ford,Mon Feb 06 16:02:11 +0000 2017,0,6,RT @ERIKAjaneC: Ford! Oh man. First favorite commercial. #Superbowl
828634888156876800,ford,Mon Feb 06 16:02:07 +0000 2017,0,6,RT @HuggyLowdownDC: #SuperBowl That Nina Simone song on that Ford commercial was Lit!
828634748503339008,ford,Mon Feb 06 16:01:33 +0000 2017,0,6,"RT @Ana_C_Wagner: Great @Ford commercial. More than a #car maker, becoming a #mobility provider. #innovation #AutonomousVehicles #transport…"
828634457317990401,ford,Mon Feb 06 16:00:24 +0000 2017,0,72,RT @KohnenUSA: Anyone else see the great sport of wrestling in that Ford Super Bowl commercial?!
828634235082829824,ford,Mon Feb 06 15:59:31 +0000 2017,0,1,RT @thomasdull4: Wrestling was in a super bowl commercial! Ford got one right!
828634163947388929,ford,Mon Feb 06 15:59:14 +0000 2017,1,0,The Ford commercial is very funny and its trying to say that with Ford you can get through everything in life. #SBDECA #PittDECA#TX
828633929573945344,ford,Mon Feb 06 15:58:18 +0000 2017,0,0,"Ford Superbowl commercial is comical and shows that life may be tough but Ford is tough too to get you out of it.
#SBDECA
#PittDeca
#TX"
828633660505092096,ford,Mon Feb 06 15:57:14 +0000 2017,1,0,I felt like the ford commercial was very informing. It showcases that ford is the way to go. #SBDECA #PITTDECA #TX
828633556813479938,ford,Mon Feb 06 15:56:49 +0000 2017,0,0,Great IRONIC #Ford commercial! #FixedorRepairedDaily
828632734113345541,ford,Mon Feb 06 15:53:33 +0000 2017,1,0,"Most influential commercial for a time capsule: 

Ford 
#ads219"
828632287398998017,ford,Mon Feb 06 15:51:47 +0000 2017,0,1,"RT @FordCraigSilva: Ford's 2017 Super Bowl commercial. We're going further, so you can. #SB51 #Superbowl https://t.co/nKk4Z3jp2Y"
828630690736590848,ford,Mon Feb 06 15:45:26 +0000 2017,0,0,Did you catch the Ford Motor Company commercial during last night's #SuperBowl? https://t.co/Pq45y5EMzh
828630213236027392,ford,Mon Feb 06 15:43:32 +0000 2017,0,0,"The Ford Commercial showing no one likes to be stuck, was a great message showing that their having their company move forward 

#NHRHSDECA"
828629640684171271,ford,Mon Feb 06 15:41:16 +0000 2017,0,0,I really liked the Ford commercial! It had many relatable scenes in it #nhrhsdeca #sbdeca
828629599441522688,ford,Mon Feb 06 15:41:06 +0000 2017,0,0,My favorite SB commercial was the Ford commercial w/ the Nina Simone song. That made me smile for real ☺
828629522799026176,ford,Mon Feb 06 15:40:48 +0000 2017,0,31373,RT @girlposts: Seriously the best don't drink and drive commercial 😩 https://t.co/5odEZfhilY
828629466322722816,ford,Mon Feb 06 15:40:34 +0000 2017,1,0,"The Ford Go Further commercial was inspiring. It uses struggles we have all felt, and connects viewers of all ages. 
#NHRHSDECA
#SBDECA"
828629447372894211,ford,Mon Feb 06 15:40:30 +0000 2017,1,0,"#mrsaenvisci my favorite super bowl commercial was Ford ""go further"""
828629267349127169,ford,Mon Feb 06 15:39:47 +0000 2017,0,0,Ford made the best commercial #NHRHSDECA #SBDECA
828628731765936128,ford,Mon Feb 06 15:37:39 +0000 2017,0,0,Ford Relaunches Commercial Vehicle Dealer Program https://t.co/tKFCJRjlyZ
828627320625848320,ford,Mon Feb 06 15:32:03 +0000 2017,0,0,When you have a bad day ford commercial #SBDECA
828627125011898368,ford,Mon Feb 06 15:31:16 +0000 2017,0,0,The ford commercial is a perfect explanation of how crappy my life is rn... :) #SBDECA #PittDECA #TX
828626835990736896,ford,Mon Feb 06 15:30:07 +0000 2017,0,0,@BigReidRadio I laughed way to hard at the injured kid in the Ford commercial.
828625752019128321,ford,Mon Feb 06 15:25:49 +0000 2017,1,1,"Ford's 2017 Super Bowl commercial. We're going further, so you can. #SB51 #Superbowl https://t.co/nKk4Z3jp2Y"
828625689939103744,ford,Mon Feb 06 15:25:34 +0000 2017,0,22,RT @GaziKodzo: They did NOT just use a Nina Simone song about Black liberation for a FUCKING CAPITALIST @Ford commercial! #SuperBowl2017 ht…
828624916404645890,ford,Mon Feb 06 15:22:29 +0000 2017,1,0,Laughed out loud the first time I saw the Ford commercial. BUT THEY NEVER SHOWED IF THE CAT GOT ITS HEAD OUT OF THE BOX #SBDECA #CT #BKDECA
828623749469655040,ford,Mon Feb 06 15:17:51 +0000 2017,0,1,RT @AthensFord: ICYMI: Ford's Super Bowl commercial. We go further so you can. 🚙🚙🚙 https://t.co/4Z1HnPKW4V
828622880091013120,ford,Mon Feb 06 15:14:24 +0000 2017,0,1,ICYMI: Ford's Super Bowl commercial. We go further so you can. 🚙🚙🚙 https://t.co/4Z1HnPKW4V
828620397386072064,ford,Mon Feb 06 15:04:32 +0000 2017,0,0,"In case you missed it--&gt;All the struggles of being ""stuck"" were pretty spot on in Ford's ad.... https://t.co/bl0dNgBMsI"
828619081452511232,ford,Mon Feb 06 14:59:18 +0000 2017,0,0,2011 Ford E-150 -- Commercial Vehicles at West Perimeter Auto Sales!
